title,runtime_min,views,language,source,num_credits,credited,slug,id
Adura Baba Mi,15,0,English,mubi,10,Janjala Benebi (actor); Adediwura Gold (actor); Juliana Kasumu (producer); Ese Onojeruo (producer); Sarah Oduwole (actor); Ayomide Osho (actor); Juliana Kasumu (director); Joseph Boyo (actor),adura-baba-mi,0b2c8ea0-acc9-49be-baac-edca889c8d87
All The Places I Once Loved You,7,0,English,manual,6,Enoch Itua (actor); Ibukun Ajadi (actor); Rete Poki (producer); Rete Poki (director); Ife Olutayo (producer); Ife Olutayo (director),all-the-places-i-once-loved-you,b029e24e-3aa4-447a-bca7-c386c45bd268
Hanky Panky,3,0,English,manual,4,Oshuwa Tunde-imoyo (actor); Opemipo Aikomo (producer); Daniel Orubo (director); Opemipo Aikomo (director),hanky-panky,6b6bbb14-6c51-4cbf-b3c4-d70571234633
Kimono Kid,8,0,English,manual,10,Seyi Akinlade (writer); Gilchrist Emeremgini (actor); Josef Adamu (writer); Dare Olaitan (writer); Ian Osonyeta Ogah (actor); Dare Olaitan (director); Josef Adamu (director); Ian Osonyeta Ogah (director),kimono-kid,b449b023-1789-4c30-aca1-534beb2d4bb0
Egúngún,14,0,yo,manual,9,Momoh Pius Oshogwemoh (actor); Angel Peters (actor); Elizabeth Popoola (actor); Olive Nwosu (director); Teniola Aladese (actor); Olive Nwosu (writer); Sheila Chukwulozie (actor); Loveth Onyemaobi (actor),egngn,f570b4bd-1cf8-4579-843b-c55e09217f5f
Tì ẹ Ńbọ̀,5,0,yo,manual,6,Chinedu Grey (actor); Chinazaekpere Chukwu (director); Bolaji Gelax (actor); Tolulope Odewunmi (actor); Brutus Richard (actor); Nonso Ekemezie (actor),t-b,d8026f82-145e-4e58-b322-c82f7205a46a
Poets on Film No. 1,9,0,English,manual,9,Paul Hecht (actor); Leonard Cohen (writer); Bozenna Heczko (director); John Robert Colombo (actor); John Robert Colombo (writer); Elizabeth Lewis (director); Guy Glover (producer); Janet Perlman (director),poets-on-film-no-1,0d5b74bc-3e0e-4a13-8fcb-3f79fb635be7
Holding On,7,0,English,youtube,144,Uche Nalcy (producer); Valérie Kosmidis (director); BECKY SOMALICHE (actor); JACK OGECHUKWU VICTOROY MICHEAL (actor); PROPHET TAIWO OMONIY (actor); Habibat Adeyemi (actor); UCHIFBA REY (actor); BECKY SONIALCHE (actor),holding-on,18de850a-979d-4c33-999f-61287d4d1644
Hear me,8,0,English,manual,4,Monalisa Jideofor (writer); Oguguah Denzel Ugochukwu (producer); Micheal Ajayi (director); Onyekwelibe Precious (actor),hear-me,d7a02495-b035-437a-9ce1-2511d3355882
RED Wine,7,0,English,youtube,10,Daniel Schlick (cinematographer); Eddie Watson (producer); Intro Credits (crew); Outro Credits (crew); EMIRAOR F.LMS (crew); Bodhi Irwin (cinematographer); Bodhi Irwin (director); Daniel Schlick (director),red-wine,aed85738-9276-42d4-b150-b53208cb47bb
Scatter,4,0,English,youtube,22,Uche Nalcy (producer); Abi Timmins (director); Saton Emmanue (actor); Doctor Bre Rubhlemeech (actor); Rustine Orem (actor); Lady Ucbe Haney (actor); Serene Seorne (actor); Thor Uahe (actor),scatter,2cf9a4fd-cd9e-4f1e-8362-f55c0a2a3038
Itunu,8,0,English,manual,3,Precious Ojo-Ebenezer (actor); Oluwakemi Folagbede (actor); Olasunkanmi Olowu (actor),itunu-2,c3106395-2fbf-49c1-b237-addbc3fa5062
