id,title,is_published,view_count
dfb117f5-a19d-4412-930a-e1a468f3d0f8,"EWU IFE (the Consequence of Love) - Official Trailer",true,0
02fd5b7b-02bf-4054-867a-f7b79218edc6,"Exclusive Interview",true,1703
0b41170a-9e13-412d-88c1-d23e5c609001,"Exclusive Interview with Adakirikiri",true,0
b1688957-e2f1-45b0-9d0c-e3f2f0ba0a30,"Exclusive Interview with Wayoosi I M Not Dead",true,58
6a2c7ed5-e31c-4023-85e4-a2f1cef4c432,"Executive Wife Official Trailer on Yorubaplus",true,0
b49ca151-545a-4748-aff9-590926598edc,"Executive Wife Official Trailer Showing Next on Yorubaplus",true,0
6eef7dca-bc4a-41b9-ae17-960629a657a4,"Ezekudene(official Trailer)~ Lizzy Gold, Princess Izuchukwu, Sochi Infiniti",true,0
3a1fb284-66d1-44aa-8c2b-9fa420bbaf57,"Ezekudene(teaser 2)~ Lizzy Gold, Princess Izuchukwu, Sochi Infiniti",true,0
5959fb15-5cf5-41ae-b825-6ad4a58e1e2a,"Fake Mattress Wahala: Check Out Ghanaians' Reactions After Many Discovered Theirs Were Fake",true,10182
f15b0b4b-2257-4eb9-8a60-f7b82914b67f,"Femo Lala Official Trailer Showing 6th February on Oluwafemi Odustv",true,0
1d2de3b4-1982-4e10-8e99-6ab681bd57ac,"Fijabi Trailer",true,0
7530497b-9286-481d-a46a-f8571adcb81c,"Fijabi Trailer ( PART 2 )",true,0
6c53fff5-9f04-4d59-a9c3-0ecf9fe9e44f,"Fimihan - Official Trailer",true,0
4de00115-e3b5-49fb-9a8e-55d81f32b821,"Fimihan - Official Trailer",true,0
23387f98-c3a0-45bc-bbc1-715af08856aa,"Fimisokan Official Trailer",true,0
e9c1b4bd-f93c-4c44-ab5b-b3ff54aa6312,"Finding Mr Ideal EPISODE 2 Teaser",true,0
48214719-3f7b-4aed-90ed-03e3e38180c8,"Fitila Official Trailer Showing Next on Apatatv+",true,0
d4cb8622-a08b-4f3a-8265-05db56325070,"For Love and for Life Trailer",true,0
447dcd53-8df5-4fbb-b6a5-3ea846dc97ef,"Four Friends Official Trailer Showing Next on Yorubaplus",true,0
295f3319-d496-4e8a-ac58-abac09f97650,"Friends and Family L Official Trailer L Showing from 27th of Feb.",true,0
8e86863d-e50c-4523-8b3e-072df321bd84,"Full Interview of Sulley Muntari and Wife Menaye with Bolay Ray on Starr Chat",true,8703
14c1c674-e0c7-4f30-ad30-1b7026bf50ba,"Game of Interest 3&4 Teaser",true,0
0d1dc434-3988-4c13-9581-ab5fae73ce57,"Game of Interest 5&6 Teaser",true,0
5c2988ee-3df7-4975-a07b-2fc40ac88e63,"Gbotiku Official Trailer",true,0
12559191-18dc-4a14-9e28-9fb2a28974a1,"Gbotiku Official Trailer",true,0
972f3f68-ee31-4601-b4a1-49e3d8495fe0,"GEN Z School Official Trailer",true,0
4c838c59-ec1b-4c6c-9dbe-24a5e18192fe,"GEN Z SCHOOL Official Trailer",true,14572
7e966ba9-0934-4727-8021-cd5d68b6a54b,"Ha Obirin Official Trailer Showing Next on Yorubaplus",true,0
9b2c8baa-d40c-40fa-ae39-4fa7f7513717,"Healing /official Trailer/showing Next On Mobimpetv",true,0
4be44b3e-aca5-4812-a683-dad0373ac982,"Hearts That Stay (trailer) - Sunday, 15th March, Right Here @eddiewatsontv",true,0
cb638ebd-ba61-4e2c-ab23-5b99bbbb3c9b,"Highlights: Afrima Grand Finale",true,0
7de1dfde-3078-4c45-82a4-923300eedf0d,"Highly Misunderstood 3&4 Teaser",true,0
1f195bee-0874-4c4a-8800-ceab969776eb,"Highly Misunderstood 5&6 Teaser",true,0
08b1ad3c-d085-46e7-913f-4c570776b2c7,"Him and Interviewer Were Not on the Same Page",true,0
84829389-308d-4fc7-9bee-83879e0fa329,"Home Official Trailer, Home Will Start Showing at 4pm Tomorrow",true,0
b17f2723-ff75-4163-8747-3a35f7103e92,"Hon. Collins Amankwaah Disrespects Nana Akufo Addo for Refusing Interview About Odo Broni & Lumba",true,3486
9ddb62db-91ee-4054-80cc-d0734a7c617e,"I AM NOT a Criminal Official Trailer",true,0
f4f91a1b-c4c6-4e98-a153-d34efb6e9694,"I Don't Even Know Her Name Kuami Eugene Interview with B Ice",true,5274
d1cbeb78-c705-41b1-82ce-c5a3322b8fdc,"Ibinu Sango - Official Trailer",true,0
b0209aff-ab2d-4c35-9fc9-229a28ffb868,"Idena - Official Trailer",true,0
f4278367-03da-41f9-b736-f2c2c3c66c94,"IFE Pade (official Trailer) — Two Hearts. One Destiny.",true,0
382811f1-3de5-44ca-9ed1-151faf052bfd,"Ifekufa - Official Trailer",true,0
8e479dbd-8f01-475b-a99d-4bf4b0ba3600,"Ifekufa (teaser)",true,0
e352881f-de5b-4189-89e7-7acb230a2c8b,"Igbiyanju - Official Trailer",true,0
dc4ea8b0-eb65-4c72-8d18-0a5f02fb16c5,"IJA Abiamo Official Trailer Showing Soon on Aishatlawaltv",true,0
0cec774b-24a5-486f-9a34-8fc0344540e5,"IJA IKOKO - OFFICIAL TRAILER",true,6051
93e034fe-4cb0-4af6-ba54-092797be37a5,"Ikorita Official Trailer Showing Next on Yorubaplus",true,0
af1082f0-00ec-42a3-ba11-f0701b9d44f5,"Ikorita Official Trailer Showing Tomorrow on Yorubaplus",true,0
8d44759b-d426-43d6-9d21-49bd5254c59d,"Ileri Mi Official Trailer Showing Next on Apatatv+",true,0
a2ef97c5-580d-4c43-a834-ca9f3eae8e75,"Innocent Mistake 5&6 (teaser)",true,0
e73cb181-544d-4077-852c-30db60ac7dfb,"Instant Wife Trailer",true,0
0edb5ba5-25b9-4594-bc27-af9f580be948,"Interview - Knowing Your Favorite Acts of Saamu Alajo ( Saamu Alajo Crew)",true,108499
d540a1ed-12b2-48bf-aef8-1cc2a238c423,"Interview - Knowing Your Favorite Acts of Saamu Alajo PT 2 ( Saamu Alajo Crew)",true,93938
e0c797bf-2253-4d45-9440-1710e8a79b09,"Interview and Appreciation",true,77584
463a640f-3904-4ce6-8e28-643878647075,"Interview with Hon. Abayomi Fagbenro Bibire",true,875
ddf9e675-57a8-4ca3-8bf2-3878cc6d436a,"Interview with Prince Ademola Ayoade",true,862
8fcbffd5-d9f1-4baa-ad4a-7c5dba18cd09,"Inu Mi Official Trailer Showing Next on Yorubaplus",true,0
c7f7a9f0-e78c-49a0-b8a5-e59a54fde3a0,"Ipekun Ife Official Trailer on Yorubaplus",true,0
b4c19920-6bf0-4370-be22-02cf6ffbe858,"Ipekun Ife Official Trailer Showing Tomorrow on Yorubaplus",true,0
4c918310-f657-4dc4-aecc-e0e4d3dfc133,"Ipile Official Trailer Showing Tomorrow on Apatatv+",true,0
3c7c874d-898a-4ed7-bc54-9de52631dfaa,"Iran Ologo 2 (official Trailer)",true,0
c84e5eda-674d-46b6-b85d-6da5d72f91c3,"Iran Ologo Trailer Showing Tomorrow, Friday by 4pm",true,0
1de7bfcd-69e6-4dfd-be8c-7abe7588f948,"Iri Ajeji Official Trailer Showing Tomorrow on Yorubaplus",true,0
e9b42d9f-ba5c-444d-b534-4ef487e86a2f,"Iriju Official Trailer",true,0
6d64b136-5bb9-4bd1-a7c2-8c77d4c1375f,"Iron Money 3&4 (teaser)",true,0
e0bb05db-0f4f-4754-bfba-53cea0e788bf,"Iron Money 5&6 (teaser)",true,0
93746977-292f-4c44-85d8-0cc8515f7a89,"Iron Money 7&8 (teaser)",true,0
3da384e2-b5a1-4323-8032-180497088177,"Iruju (complicted) Official Trailer",true,0
07bd098e-d529-4c4b-8e80-d414814ca874,"ISE Ikoko - Official Trailer",true,0
2a32ce54-4606-4346-9296-2c2defdb5807,"Isekotu Official Trailer on Yorubaplus",true,0
a1cbd817-21fe-4006-b24d-6d465441b993,"Isekotu Official Trailer Showing Tomorrow on Yorubaplus",true,0
fe8b530d-da7d-424b-a9f1-d2fca19b1e9e,"Iskolobo Official Trailer on Yorubaplus",true,0
edeca721-70f8-477d-96d0-b958f015672b,"Iskolobo Official Trailer Showing Next on Yorubaplus",true,0
